,-1d_Vol1,-2d_Vol1,-3d_Vol1,-4d_Vol1,-5d_Vol1,10d_Avg_Vol1,21d_Avg_Vol1,63d_Avg_Vol1,-1d_Vol2,-2d_Vol2,-3d_Vol2,-4d_Vol2,-5d_Vol2,-1d_Spread,-2d_Spread,-3d_Spread,-4d_Spread,-5d_Spread,10d_Spread,21d_Spread,63d_Spread,-1d_upperwick,-2d_upperwick,-3d_upperwick,-4d_upperwick,-5d_upperwick,10d_upperwick,21d_upperwick,63d_upperwick,-1d_lowerwick,-2d_lowerwick,-3d_lowerwick,-4d_lowerwick,-5d_lowerwick,10d_lowerwick,21d_lowerwick,63d_lowerwick,Trade Price
1984-06-11,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,-3.0,4.0,-1.0,-3.0,-2.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,5.0,1.0,1.0,1.0,2.30672854826
1984-06-12,2.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,-5.0,3.0,1.0,5.0,-3.0,-1.0,-3.0,-3.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,4.0,1.0,1.0,1.0,2.26626
1984-06-13,5.0,2.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.0,3.0,1.0,5.0,1.0,-2.0,-3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.26163425173
1984-06-14,3.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,-3.0,1.0,-5.0,3.0,1.0,-1.0,-2.0,-3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,2.21885229441
1984-06-15,4.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,-4.0,-3.0,1.0,-5.0,3.0,1.0,-3.0,-3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,2.220009
1984-06-18,3.0,4.0,3.0,5.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.0,-3.0,1.0,-5.0,-1.0,-3.0,-3.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,2.0,5.0,3.0,1.0,1.0,1.0,2.30788532529
1984-06-19,2.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,-4.0,-3.0,1.0,1.0,-2.0,-3.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,1.0,2.35991670796
1984-06-20,2.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,-4.0,-3.0,1.0,-2.0,-3.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.4200401236
1984-06-21,3.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,-3.0,1.0,-1.0,-2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.48363466694
1984-06-22,3.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,1.0,1.0,-1.0,-2.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.45010529511
1984-06-25,2.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,-3.0,4.0,5.0,3.0,5.0,1.0,-1.0,-2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.416572
1984-06-26,1.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.0,5.0,5.0,4.0,1.0,-1.0,-2.0,5.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.38535304196
1984-06-27,3.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-4.0,5.0,5.0,1.0,-1.0,-2.0,0.0,5.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.34257325242
1984-06-28,1.0,3.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,-3.0,-2.0,1.0,-4.0,5.0,1.0,1.0,-3.0,3.0,0.0,5.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.3113542933
1984-06-29,2.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,-3.0,-2.0,-1.0,1.0,-3.0,1.0,1.0,-3.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.21653995844
1984-07-02,5.0,2.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.0,-2.0,-1.0,1.0,-1.0,1.0,-3.0,3.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.24429070615
1984-07-03,4.0,5.0,2.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,-3.0,-2.0,-1.0,-1.0,-1.0,-3.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.31829162018
1984-07-05,4.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,-3.0,-2.0,-1.0,1.0,-2.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.35991670796
1984-07-06,1.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,-3.0,-1.0,1.0,-2.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,2.33910420996
1984-07-09,1.0,1.0,4.0,4.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,3.0,5.0,3.0,1.0,-1.0,1.0,-2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.41310287301
1984-07-10,1.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,-1.0,3.0,5.0,3.0,1.0,1.0,-1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.439699
1984-07-11,2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,-1.0,3.0,5.0,1.0,1.0,-1.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.42004104247
1984-07-12,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,5.0,-1.0,3.0,1.0,1.0,-1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,2.39229029336
1984-07-13,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,-3.0,-1.0,1.0,5.0,-1.0,1.0,1.0,-1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,2.39807291594
1984-07-16,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,-3.0,-1.0,1.0,5.0,1.0,1.0,-2.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,2.393448
1984-07-17,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,-4.0,-2.0,1.0,1.0,1.0,-2.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,1.0,1.0,2.0,2.47322837528
1984-07-18,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,-3.0,-1.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,2.44894758571
1984-07-19,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,-5.0,5.0,1.0,2.0,-3.0,1.0,1.0,-2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.35529087761
1984-07-20,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,-5.0,-5.0,5.0,1.0,2.0,-1.0,-1.0,-2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.30788525137
1984-07-23,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,-2.0,-5.0,-5.0,5.0,1.0,-1.0,-1.0,-2.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.29747895806
1984-07-24,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-5.0,-5.0,5.0,-1.0,-1.0,-2.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.28129004185
1984-07-25,5.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-2.0,-5.0,-5.0,-1.0,-1.0,-3.0,0.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.27897870455
1984-07-26,5.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,1.0,-2.0,-5.0,-1.0,-1.0,-3.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.34604137441
1984-07-27,1.0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,-1.0,1.0,-2.0,-1.0,1.0,-3.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,2.48710378551
1984-07-30,3.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,-1.0,1.0,1.0,1.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,2.45819708309
1984-07-31,2.0,3.0,1.0,5.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-2.0,5.0,5.0,3.0,-1.0,1.0,2.0,-2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,2.451259
1984-08-01,2.0,2.0,3.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,5.0,5.0,3.0,-1.0,2.0,-3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.46166620318
1984-08-02,3.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,-2.0,5.0,5.0,1.0,1.0,-3.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.50676049486
1984-08-03,5.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,-2.0,5.0,1.0,1.0,-3.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.56804270732
1984-08-06,5.0,5.0,3.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,-2.0,2.0,2.0,-2.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.611979292
1984-08-07,5.0,5.0,5.0,3.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-3.0,3.0,4.0,5.0,1.0,2.0,2.0,-2.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.59347904213
1984-08-08,2.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-1.0,-3.0,3.0,4.0,5.0,2.0,1.0,-2.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,3.0,2.58191720922
1984-08-09,2.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-3.0,3.0,4.0,2.0,1.0,-2.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,2.64204145625
1984-08-10,5.0,2.0,2.0,5.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,-1.0,-1.0,-3.0,3.0,2.0,2.0,-1.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.74263633814
1984-08-13,5.0,5.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-4.0,5.0,-1.0,-1.0,-3.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,2.7125732507
1984-08-14,1.0,5.0,5.0,2.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-2.0,-4.0,5.0,-1.0,-1.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,3.0,2.68482433724
1984-08-15,2.0,1.0,5.0,5.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-4.0,-2.0,-4.0,5.0,-1.0,2.0,2.0,-1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,1.0,1.0,3.0,2.59463584142
1984-08-16,1.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-5.0,-4.0,-2.0,-4.0,5.0,1.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.60041719931
1984-08-17,3.0,1.0,2.0,1.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,-5.0,-4.0,-2.0,-4.0,1.0,1.0,-1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,2.636261
1984-08-20,2.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,-5.0,-4.0,-2.0,1.0,2.0,-1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.636261
1984-08-21,2.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,-5.0,-4.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.66169941407
1984-08-22,5.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,-5.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.69754204221
1984-08-23,3.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-1.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,2.694073
1984-08-24,3.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,5.0,1.0,1.0,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,2.0,2.67441804244
1984-08-27,1.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,5.0,1.0,-1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,2.65476225283
1984-08-28,1.0,1.0,3.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,-1.0,5.0,-1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,2.647825
1984-08-29,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,-1.0,-1.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,2.64319825145
1984-08-30,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-2.0,-1.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.59694808427
1984-08-31,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-1.0,-1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.543762
1984-09-04,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.54260429315
1984-09-05,5.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,-3.0,1.0,-2.0,-2.0,1.0,-1.0,-1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.52410404254
1984-09-06,2.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,-1.0,-3.0,1.0,-2.0,-2.0,-1.0,-1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.55301066304
1984-09-07,4.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,-1.0,-3.0,1.0,-2.0,-1.0,-1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.57497995827
1984-09-10,5.0,4.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,-1.0,-3.0,1.0,-1.0,-1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.58813668023
1984-09-11,5.0,5.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,-1.0,-3.0,-1.0,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.74760626319
1984-09-12,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,-2.0,3.0,1.0,4.0,-1.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.74524173858
1984-09-13,2.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,-2.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,2.87163767352
1984-09-14,5.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,-2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,2.976769
